School,Conference,ProjectedPoints,NumberOfProspects
Alabama,SEC,208,21
Ohio State,Big Ten,187,16
Georgia,SEC,181,17
Texas A&M,SEC,144,12
Oklahoma,Big 12,134,19
Clemson,ACC,111,17
Washington,Pac 12,99,7
Cincinnati,FBS - AAC,90,7
USC,Pac 12,84,10
Penn State,Big Ten,81,11
Notre Dame,FBS - Independent,79,11
Oregon,Pac 12,76,9
Florida,SEC,74,9
Arkansas,SEC,73,8
Michigan,Big Ten,72,7
Ole Miss,SEC,69,10
Auburn,SEC,67,11
LSU,SEC,60,10
Iowa,Big Ten,56,5
Purdue,Big Ten,55,3
Iowa State,Big 12,54,9
Nevada,FBS - Mountain West,53,5
Kentucky,SEC,52,8
South Carolina,SEC,50,7
UCLA,Pac 12,47,9
NC State,ACC,47,6
Miami (FL),ACC,45,12
Minnesota,Big Ten,38,6
Boston College,ACC,37,6
Arizona State,Pac 12,36,8
Mississippi State,SEC,32,3
Northwestern,Big Ten,32,2
Virginia Tech,ACC,31,8
Liberty,FCS,31,2
North Carolina,ACC,31,2
Texas,Big 12,30,8
TCU,Big 12,28,6
Wisconsin,Big Ten,28,6
Coastal Carolina,FCS,25,7
Utah,Pac 12,24,4
Indiana,Big Ten,23,7
Northern Iowa,FCS,20,1
Missouri,SEC,18,6
Stanford,Pac 12,18,4
Memphis,FBS - AAC,15,4
South Alabama,FBS - Sun Belt,15,1
Washington State,Pac 12,14,3
Oklahoma State,Big 12,13,4
Tennessee,SEC,12,4
Virginia,ACC,12,3
Texas Tech,Big 12,12,2
West Virginia,Big 12,11,3
Fresno State,FBS - Mountain West,11,2
SMU,FBS - AAC,11,2
Colorado State,FBS - Mountain West,10,1
Florida State,ACC,9,4
Rutgers,Big Ten,9,4
BYU,FBS - Independent,9,3
Baylor,Big 12,8,5
Michigan State,Big Ten,8,4
UTSA,FBS - CUSA,8,3
Duke,ACC,8,2
UConn,FBS - AAC,8,1
Boise State,FBS - Mountain West,8,1
UCF,FBS - AAC,7,3
Maryland,Big Ten,7,3
California,Pac 12,7,3
Tulsa,FBS - AAC,7,2
Nebraska,Big Ten,7,2
San Jose State,FBS - Mountain West,6,3
Syracuse,ACC,6,2
Illinois,Big Ten,6,2
Western Kentucky,FBS - CUSA,6,2
Tulane,FBS - AAC,6,1
East Carolina,FBS - AAC,6,1
UAB,FBS - CUSA,6,1
Appalachian State,FBS - Sun Belt,5,4
Louisiana-Lafayette,FBS - Sun Belt,5,1
Southern Utah,FCS,5,1
Marshall,FBS - CUSA,5,1
Pitt,ACC,4,4
Louisville,ACC,3,3
Buffalo,FBS - MAC,3,3
North Texas,FBS - CUSA,3,2
Oregon State,Pac 12,3,2
Troy,FBS - Sun Belt,2,2
Western Michigan,FBS - MAC,2,2
Colorado,Pac 12,2,2
Central Michigan,FBS - MAC,2,2
Wake Forest,ACC,2,1
Florida International,FBS - CUSA,2,1
North Dakota State,FCS,2,1
Houston,FBS - AAC,2,1
McNeese State,FCS,2,1
Jackson State,FCS,1,1
South Florida,FBS - AAC,1,1
San Diego State,FBS - Mountain West,1,1
Navy,FBS - AAC,1,1
Southern Miss,FBS - CUSA,1,1
Louisiana Tech,FBS - CUSA,1,1
Wyoming,FBS - Mountain West,1,1
Hawaii,FBS - Mountain West,1,1
Ball State,FBS - MAC,1,1
Georgia Tech,ACC,1,1
Jacksonville State,FCS,1,1
Sam Houston State,FCS,1,1
Vanderbilt,SEC,1,1
Lindenwood,D2,1,1
Kent State,FBS - MAC,1,1
Georgia Southern,FBS - Sun Belt,1,1
Middle Tennessee State,FBS - CUSA,1,1
